Phone Number,Project,Description,URL,Last Modified Date,Last Modified By,Transfer Prompt,Error Prompt,Backup Transfer Destination,Recovery URL,Recovery URL (alt),Reporting Group,Time Zone,Call Type,Service Combination,Contract,Environment,Outbound Web Account,Allow Blind Transfers,Traffic Plan,Routing notes,Utterance Capture,Logging (Dev),Logging (VXML),Logging (VXML Warnings),VXML Revision,VXML Update,DTMF Only,Call Field,Call Expression,Call Action,Max Live Calls,Extranet Applications,Exclude Billing,% Whole Calls Recorded,Play in browser?,IDM Events,IDM Events VXML Flow,State name
dialog@chumma.vendor.com.notifier.sip.tellme.com,247 Speech Platform Dev,,Not applicable,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Outbound Web,Microsoft Speech Engine  -->  Sonus-GW-Outbound-ATT2 (stable sv2),1/247CallerVerification,Stable SV2,chumma.vendor.com,True,sonus-p193-stable-outbound2,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@devtest.ccas.sip.tellme.com,247 Speech Platform Dev,Dev test for CCXML Virtualization,http://anvil.tellme.com/~mchoubey/vxmls/tts_test.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,Tellme Internal   -->  Microsoft Speech Engine (stable sv2),247 Speech Platform Dev,Stable SV2,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@dialog.7010001.marriott.sip.tellme.com,247 Speech Platform Dev,eking voip testing - Marriott Singapore,http://megaman.tellme.com/~eking/development/vxml/compilecheck-2.vxml,May 26 2020 07:00,Polinaidu Gottapu kin,,,"",,,,America/Los_Angeles,Inbound VXML,Tellme Internal   -->  Microsoft DNN Speech Engine (stable sv2),247 Speech Platform Dev,Stable SV2,,True,dialog-ASR_MS_DNN,,False,False,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@dialog.8005551212.marriott.sip.tellme.com,247 Speech Platform Dev,eking voip testing,http://error.vui.en-us.tellme.com/placeholder.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,Tellme Internal   -->  Microsoft DNN Speech Engine (stable sv2),247 Speech Platform Dev,Stable SV2,,True,dialog-ASR_MS_DNN,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@dialog.8018324519.marriott.sip.tellme.com,247 Speech Platform Dev,eking voip testing - Marriott SLC,http://megaman.tellme.com/~eking/development/vxml/compilecheck-2.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,Tellme Internal   -->  Microsoft Speech Engine (stable sv2),247 Speech Platform Dev,Stable SV2,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@dialog.8018324519.sip.tellme.com,247 Speech Platform Dev,eking voip testing - Marriott SLC,http://megaman.tellme.com/~eking/development/vxml/dvoip-interop.xml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,Tellme Internal   -->  Microsoft Speech Engine (stable sv2),247 Speech Platform Dev,Stable SV2,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@dialog.8558798475.marriott.sip.tellme.com,247 Speech Platform Dev,eking voip testing - Marriott SLC,http://megaman.tellme.com/~eking/development/vxml/compilecheck-2.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,Tellme Internal   -->  Microsoft Speech Engine (stable sv2),247 Speech Platform Dev,Stable SV2,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@dialog.lab2lab.att-wireline-asr-dnn.sip.tellme.com,247 Speech Platform Dev,ATT application testing - DNN,http://dev-redirector.svc.tellme.com/att_wireline_da/interop.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,America/Los_Angeles,Inbound VXML,Tellme Internal   -->  Microsoft Speech Engine (stable sv2),247 Speech Platform Dev,Stable SV2,,True,p303,isolating to p303,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@dialog.poptest5internal.sip.tellme.com,247 Speech Platform Dev,PE test VAK,http://platqa-qaheartbeat02.voice-svc.int.sv2.247-inc.net/Panda/voice_biometrics/voicename_as_password.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,America/Los_Angeles,Inbound VXML,CCAS   -->  Microsoft DNN Speech Engine (stable sv2),247 Speech Platform Dev,Stable SV2,,True,dialog-ASR_MS_DNN,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@tellme.vendor.com.notifier.sip.tellme.com,247 Speech Platform Dev,,Not applicable,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Outbound Web,Microsoft Speech Engine  -->  Sonus-GW-Outbound-ATT2 (stable sv2),1/247CallerVerification,Stable SV2,tellme.vendor.com,True,sonus-p193-stable-outbound2,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@test.tellme-internal.sip.tellme.com,247 Speech Platform Dev,,http://error.vui.en-us.tellme.com/placeholder.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,Tellme Internal   -->  Microsoft Speech Engine (stable sv2),247 Speech Platform Dev,Stable SV2,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@testchoicehotel.choicehotels.sip.tellme.com,247 Speech Platform Dev,,http://error.vui.en-us.tellme.com/placeholder.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,Choice Hotels VoIP   -->  Microsoft DNN Speech Engine (voip lab),test_choice_hotel,VoIP Lab,,True,dialog-ASR_MS_DNN,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@xyz.vendor.com.notifier.sip.tellme.com,247 Speech Platform Dev,,Not applicable,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Outbound Web,Microsoft Speech Engine  -->  Sonus-GW-Outbound-ATT2 (stable sv2),1/247CallerVerification,Stable SV2,xyz.vendor.com,True,sonus-p193-stable-outbound2,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@yxz.vendor.com.notifier.sip.tellme.com,247 Speech Platform Dev,,Not applicable,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Outbound Web,Microsoft Speech Engine  -->  Sonus-GW-Outbound-ATT2 (stable sv2),1/247CallerVerification,Stable SV2,yxz.vendor.com,True,sonus-p193-stable-outbound2,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
408-403-3003,247 Speech Sciences,,http://error.vui.en-us.tellme.com/placeholder.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,America/Los_Angeles,Inbound VXML,Verizon IPTF (Integrated)  -->  Microsoft Speech Engine (plat qa),Tellme QA,Plat QA,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
800-207-8137,247 Speech Sciences,,http://error.vui.en-us.tellme.com/placeholder.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,AT&T IPTF (Integrated)  -->  Microsoft DNN Speech Engine (plat qa),1/247CallerVerification,Plat QA,,True,dialog-ASR_MS_DNN,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
800-207-8137,247 Speech Sciences,http://error.vui.en-us.tellme12756.com/placeholder.vxml,http://error21error.vui.en-us.tellme.com/someurl7460.vxml,Jun 08 2020 07:00,raviteja.vaadakattu raviteja.vaadakattu,6933,error_default.wav,848-848-6924,http://error.vui.en-us.tellme3670.com/placeholder.vxml,,fa,America/New_York,Inbound VXML,AT&T TDM (Integrated)  -->  Nuance Speech Engine (stable sv2),Tellme QA - Platform,Stable SV2,,True,dialog-GP,,True,True,False,False,4,9921,True,DNIS,8499,Reject,243,1-800-555-TELL,True,100.0,True,True,True,active
800-574-2936,247 Speech Sciences,hello,http://stable-studio.tellme.com:8080/telephone/index.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,transfer_part_one,error_default.wav,1111,,,ArunGroup,GMT,Inbound VXML,AT&T TDM (Integrated)  -->  Microsoft DNN Speech Engine (stable sv2),Tellme Dev,Stable SV2,,True,dialog-ASR_MS_DNN,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,True,active
800-677-4704,247 Speech Sciences,Experience Manager - snapshot test/preview app in stable environment1,https://stable-em.platformcentral.247-inc.net/vxml/preview/em_preview.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,AT&T TDM (Integrated)  -->  Microsoft DNN Speech Engine (stable sv2),247 Speech Platform Dev,Stable SV2,,True,p303,Routing EM related TFNs to p303 since default DNN traffic plan includes p301 also which is mostly under repairs with plat.qa activities,False,True,True,True,,,False,"",,"",,,False,0.0,True,True,False,active
800-677-5104,247 Speech Sciences,This goes to desc5195,http://error.vui.en-us.tellme.com/someurl2873.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,113-336-7581,http://error.vui.en-us.tellme.com/someurl39420.vxml,,TestGroup41237,America/New_York,Inbound VXML,AT&T TDM (Integrated)  -->  Microsoft DNN Speech Engine (stable sv2),247 Speech Platform Dev,Stable SV2,,True,p303,Routing EM related TFNs to p303 since default DNN traffic plan includes p301 also which is mostly under repairs with plat.qa activities,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
866-317-3290,247 Speech Sciences,Ebay German NLU,http://anvil.tellme.com/~kma/studiotests/test_dictation_stableenv.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,(gf8i2f2$5,"",,,,America/Los_Angeles,Inbound VXML,AT&T TDM (Integrated)  -->  Microsoft DNN Speech Engine (stable sv2),247 Speech Sciences Team,Stable SV2,,True,p303,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
555-555-5555,Tellme Dev,test,http://voipsim04.plat.qa.backvport.sv2.tellme.com/zoya-vxml/transfer/transfer-bridge-1.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,America/Los_Angeles,Inbound VXML,AT&T TDM (Integrated)  -->  Microsoft Speech Engine (voip lab),Tellme Dev,VoIP Lab,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
61295781013.avisbudgetgroup.voiplab.tellme.com,Tellme Dev,Test dummy vak 2,http://error.vui.en-us.tellme.com/placeholder.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,Avis Budget Group VoIP   -->  Microsoft Speech Engine (voip lab),Tellme Dev,VoIP Lab,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
6129578102.avisbudgetgroup.sip.tellme.com,Tellme Dev,Dummy test vak,http://error.vui.en-us.tellme.com/placeholder.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,Avis Budget Group VoIP   -->  Microsoft Speech Engine (voip lab),Tellme Dev,VoIP Lab,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,True,active
800-217-8977,Tellme Dev,,http://voipsim04.plat.qa.backvport.sv2.tellme.com/zoya-vxml/transfer/transfer-basic-blind-noUUI.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,America/Los_Angeles,Inbound VXML,AT&T TDM (Integrated)  -->  Microsoft Speech Engine (voip lab),Tellme Dev,VoIP Lab,,False,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
800-410-9823,Tellme Dev,,http://voipsim04.plat.qa.backvport.sv2.tellme.com/zoya-vxml/transfer/transfer-To247-Zoya.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,America/Los_Angeles,Inbound VXML,AT&T TDM (Integrated)  -->  Microsoft Speech Engine (voip lab),Tellme Dev,VoIP Lab,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
800-564-9637,Tellme Dev,sample_test,http://platqa-load02.voice-svc.int.sv2.247-inc.net/jjacob/panda/htdocs/testcases/tmmain-http/receive-async-1.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,America/Los_Angeles,Inbound VXML,AT&T TDM (Integrated)  -->  Microsoft DNN Speech Engine (stable sv2),Tellme Dev,Stable SV2,,True,P304-all,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
866-328-6993,Tellme Dev,Event Testing,http://test03.plat.qa.backvport.sv2.tellme.com/zoya/transfer/transfer-blind-IMG-uui-5chars.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,AT&T TDM (Integrated)  -->  Microsoft Speech Engine (stable sv2),Tellme Dev,Stable SV2,,True,p303,,False,True,True,True,,,False,"",,"",,,False,100.0,True,True,False,active
866-588-2838,Tellme Dev,Farmers CDE,http://slb01.iic1.sjc02.247-inc.net:7080/abg-main/doc/tellme.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,Farmers Management - Test,America/Chicago,Inbound VXML,AT&T TDM (Integrated)  -->  Microsoft Speech Engine (plat qa),Tellme Dev,Plat QA,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
ccapp@18558107511.globalcrossing.voiplab.tellme.com,Tellme Dev,eking gblx test,http://dev-redirector.svc.tellme.com/eking/ford/current/index.ccxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Call Control,Tellme Internal   -->  CCAS (voip lab),Tellme Dev,VoIP Lab,,False,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,False,False,active
ccapp@ccapp.6509304557.voiplab.tellme.com,Tellme Dev,eking ccxml testing,http://megaman.tellme.com/~eking/development/ccxml/voiplabccxml.ccxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Call Control,Tellme Internal   -->  CCAS (voip lab),Tellme Dev,VoIP Lab,,True,CCXML-GP,,False,True,True,True,,,False,"",,"",,,False,0.0,False,False,False,active
ccapp@ccapp.nsa.voiplab-01.sip.tellme.com,Tellme Dev,NSA Check,file:///usr/local/ccxml/nsacheck.ccxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Call Control,Tellme Internal   -->  CCAS (voip lab),Tellme Dev,VoIP Lab,,True,CCXML-GP,,False,True,True,True,,,False,"",,"",,,False,0.0,False,False,False,active
ccapp@ccapp.nsa.voiplab.tellme.com,Tellme Dev,NSA Check,file:///usr/local/ccxml/nsacheck.ccxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Call Control,Tellme Internal   -->  CCAS (voip lab),Tellme Dev,VoIP Lab,,True,CCXML-GP,,False,True,True,True,,,False,"",,"",,,False,0.0,False,False,False,active
ccapp@sk-test.tellme-internal.sip.tellme.com,Tellme Dev,Sample vak created for Dev Testing of ccxml,file:///usr/local/ccxml/nsacheck.ccxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Call Control,Tellme Internal   -->  CCAS (voip lab),Tellme Dev,VoIP Lab,,True,CCXML-GP,,False,True,True,True,,,False,"",,"",,,False,0.0,False,False,False,active
dialog@045299100.avisbudgetgroup.voiplab.tellme.com,Tellme Dev,Avis EMEA Testing,http://megaman.tellme.com/~eking/development/vxml/dvoip-interop.xml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,Tellme Internal   -->  Microsoft Speech Engine (voip lab),Tellme Dev,VoIP Lab,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,False,False,active
dialog@11500000000.farmers.voiplab.tellme.com,Tellme Dev,Farmers Cisco Migration testing,http://error.vui.en-us.tellme.com/placeholder.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,Tellme Internal   -->  Microsoft Speech Engine (voip lab),Tellme Dev,VoIP Lab,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@13094399912.choicehotels.voiplab.tellme.com,Tellme Dev,Choice Hotels voip testing,http://megaman.tellme.com/~eking/development/vxml/dvoip-interop-2.xml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,America/Los_Angeles,Inbound VXML,Tellme Internal   -->  Microsoft Speech Engine (voip lab),Tellme Dev,VoIP Lab,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@13094399944.choicehotels.voiplab.tellme.com,Tellme Dev,Choice Hotels voip testing,http://megaman.tellme.com/~eking/development/vxml/dvoip-interop-2.xml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,America/Los_Angeles,Inbound VXML,Tellme Internal   -->  Microsoft Speech Engine (voip lab),Tellme Dev,VoIP Lab,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@1320.ebay.voiplab.tellme.com,Tellme Dev,eBay voip testing - Germany,http://megaman.tellme.com/~eking/development/vxml/dvoip-interop.xml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,America/Los_Angeles,Inbound VXML,Tellme Internal   -->  Microsoft Speech Engine (voip lab),Tellme Dev,VoIP Lab,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@1321.ebay.voiplab.tellme.com,Tellme Dev,eBay voip testing - Germany,http://megaman.tellme.com/~eking/development/vxml/dvoip-interop.xml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,Tellme Internal   -->  Microsoft Speech Engine (voip lab),Tellme Dev,VoIP Lab,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@1322.ebay.voiplab.tellme.com,Tellme Dev,eBay voip testing - Germany,http://megaman.tellme.com/~eking/development/vxml/dvoip-interop.xml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,America/Los_Angeles,Inbound VXML,Tellme Internal   -->  Microsoft Speech Engine (voip lab),Tellme Dev,VoIP Lab,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@2162991.safelite.voiplab.tellme.com,Tellme Dev,Safelite Dev testing,http://megaman.tellme.com/~eking/development/vxml/dvoip-interop.xml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,America/Los_Angeles,Inbound VXML,Tellme Internal   -->  Microsoft Speech Engine (voip lab),Tellme Dev,VoIP Lab,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@2400.ebay.voiplab.tellme.com,Tellme Dev,eBay voip testing,http://megaman.tellme.com/~eking/development/vxml/dvoip-interop.xml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,Tellme Internal   -->  Microsoft Speech Engine (voip lab),Tellme Dev,VoIP Lab,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@32400.ebay.voiplab.tellme.com,Tellme Dev,eBay voip testing,http://megaman.tellme.com/~eking/development/vxml/dvoip-compilecheck.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,America/Los_Angeles,Inbound VXML,Tellme Internal   -->  Microsoft Speech Engine (voip lab),Tellme Dev,VoIP Lab,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@32400.safelite.voiplab.tellme.com,Tellme Dev,,http://error.vui.en-us.tellme.com/placeholder.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,Tellme Internal   -->  Microsoft Speech Engine (voip lab),Tellme Dev,VoIP Lab,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@3999114.safelite.voiplab.tellme.com,Tellme Dev,Safelite Dev testing,http://megaman.tellme.com/~eking/development/vxml/dvoip-interop.xml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,America/Los_Angeles,Inbound VXML,Tellme Internal   -->  Microsoft Speech Engine (voip lab),Tellme Dev,VoIP Lab,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@4445293731.avisbudgetgroup.voiplab.tellme.com,Tellme Dev,ABG EMEA Test,http://megaman.tellme.com/~eking/development/vxml/dvoip-interop.xml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,Tellme Internal   -->  Microsoft Speech Engine (voip lab),Tellme Dev,VoIP Lab,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,False,False,active
